Year,Quarter,Quarter_Label,Platform,Market_Share_Pct,Rank
2020,1,2020-Q1,DoorDash,45,1
2020,1,2020-Q1,Uber Eats,22,2
2020,1,2020-Q1,Grubhub,24,3
2020,1,2020-Q1,Other,9,4
2020,2,2020-Q2,DoorDash,45,1
2020,2,2020-Q2,Uber Eats,22,2
2020,2,2020-Q2,Grubhub,23,3
2020,2,2020-Q2,Other,10,4
2020,3,2020-Q3,DoorDash,49,1
2020,3,2020-Q3,Uber Eats,22,2
2020,3,2020-Q3,Grubhub,22,3
2020,3,2020-Q3,Other,7,4
2020,4,2020-Q4,DoorDash,50,1
2020,4,2020-Q4,Uber Eats,21,2
2020,4,2020-Q4,Grubhub,21,3
2020,4,2020-Q4,Other,8,4
2021,1,2021-Q1,DoorDash,55,1
2021,1,2021-Q1,Uber Eats,23,2
2021,1,2021-Q1,Grubhub,18,3
2021,1,2021-Q1,Other,4,4
2021,2,2021-Q2,DoorDash,57,1
2021,2,2021-Q2,Uber Eats,23,2
2021,2,2021-Q2,Grubhub,17,3
2021,2,2021-Q2,Other,3,4
2021,3,2021-Q3,DoorDash,57,1
2021,3,2021-Q3,Uber Eats,24,2
2021,3,2021-Q3,Grubhub,16,3
2021,3,2021-Q3,Other,3,4
2021,4,2021-Q4,DoorDash,55,1
2021,4,2021-Q4,Uber Eats,23,2
2021,4,2021-Q4,Grubhub,18,3
2021,4,2021-Q4,Other,4,4
2022,1,2022-Q1,DoorDash,59,1
2022,1,2022-Q1,Uber Eats,24,2
2022,1,2022-Q1,Grubhub,15,3
2022,1,2022-Q1,Other,2,4
2022,2,2022-Q2,DoorDash,58,1
2022,2,2022-Q2,Uber Eats,25,2
2022,2,2022-Q2,Grubhub,14,3
2022,2,2022-Q2,Other,3,4
2022,3,2022-Q3,DoorDash,58,1
2022,3,2022-Q3,Uber Eats,25,2
2022,3,2022-Q3,Grubhub,13,3
2022,3,2022-Q3,Other,4,4
2022,4,2022-Q4,DoorDash,57,1
2022,4,2022-Q4,Uber Eats,25,2
2022,4,2022-Q4,Grubhub,14,3
2022,4,2022-Q4,Other,4,4
2023,1,2023-Q1,DoorDash,65,1
2023,1,2023-Q1,Uber Eats,23,2
2023,1,2023-Q1,Grubhub,9,3
2023,1,2023-Q1,Other,3,4
2023,2,2023-Q2,DoorDash,65,1
2023,2,2023-Q2,Uber Eats,23,2
2023,2,2023-Q2,Grubhub,8,3
2023,2,2023-Q2,Other,4,4
2023,3,2023-Q3,DoorDash,66,1
2023,3,2023-Q3,Uber Eats,23,2
2023,3,2023-Q3,Grubhub,8,3
2023,3,2023-Q3,Other,3,4
2023,4,2023-Q4,DoorDash,67,1
2023,4,2023-Q4,Uber Eats,23,2
2023,4,2023-Q4,Grubhub,7,3
2023,4,2023-Q4,Other,3,4
2024,1,2024-Q1,DoorDash,67,1
2024,1,2024-Q1,Uber Eats,24,2
2024,1,2024-Q1,Grubhub,6,3
2024,1,2024-Q1,Other,3,4
2024,2,2024-Q2,DoorDash,67,1
2024,2,2024-Q2,Uber Eats,24,2
2024,2,2024-Q2,Grubhub,6,3
2024,2,2024-Q2,Other,3,4
2024,3,2024-Q3,DoorDash,67,1
2024,3,2024-Q3,Uber Eats,23,2
2024,3,2024-Q3,Grubhub,6,3
2024,3,2024-Q3,Other,4,4
2024,4,2024-Q4,DoorDash,67,1
2024,4,2024-Q4,Uber Eats,23,2
2024,4,2024-Q4,Grubhub,6,3
2024,4,2024-Q4,Other,4,4
