Category,Year,DoorDash_Share_Pct,UberEats_Share_Pct,DoorDash_AOV_USD,UberEats_AOV_USD,DoorDash_YoY_Growth_Pct,UberEats_YoY_Growth_Pct,Fastest_Growing
American/Burgers,2024,20,18,29.50,38.00,15,13,No
Pizza,2024,14,13,34.00,42.00,10,8,No
Chinese,2024,11,11,28.50,36.50,11,10,No
Mexican,2024,11,10,25.50,32.00,13,12,No
Sushi/Japanese,2024,10,13,45.00,59.00,25,22,No
Grocery/Convenience,2024,13,13,49.00,56.00,40,38,Yes
Indian,2024,7,8,31.00,39.00,20,18,No
Sandwiches,2024,7,7,23.50,30.00,6,5,No
Other,2024,7,7,27.50,35.00,10,9,No
American/Burgers,2023,21,19,29.00,37.00,18,15,No
Pizza,2023,15,14,33.00,41.00,12,9,No
Chinese,2023,12,11,28.00,36.00,14,12,No
Mexican,2023,11,10,25.00,31.00,15,14,No
Sushi/Japanese,2023,9,12,43.50,57.00,22,19,No
Grocery/Convenience,2023,10,11,47.00,54.00,52,40,Yes
Indian,2023,7,8,30.00,38.00,24,21,No
Sandwiches,2023,8,8,23.00,29.00,8,7,No
Other,2023,7,7,27.00,34.00,12,11,No
