Platform,Metric,Year_Label,Value,Value_Label
DoorDash,Total Courier Earnings ($B),2020,4.20,$4.2B
DoorDash,Total Courier Earnings ($B),2024,18.00,$18.0B
Uber Eats,Total Courier Earnings ($B),2020,5.80,$5.8B
Uber Eats,Total Courier Earnings ($B),2024,17.50,$17.5B
DoorDash,Active Couriers (M),2020,2.00,2.0M
DoorDash,Active Couriers (M),2024,8.00,8.0M
Uber Eats,Active Couriers (M),2020,3.50,3.5M
Uber Eats,Active Couriers (M),2024,8.00,8.0M
DoorDash,Avg Annual Earnings ($),2020,2100,$2,100
DoorDash,Avg Annual Earnings ($),2024,2250,$2,250
Uber Eats,Avg Annual Earnings ($),2020,1657,$1,657
Uber Eats,Avg Annual Earnings ($),2024,2188,$2,188
